Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Military expenditure (current USD),MS.MIL.XPND.CD,Cuba,CUB,..,..,93744493.3920705,126872246.696035,119383259.911894,125638766.519824,118370044.052863,123658947.448659,122552919.006641,128609126.95598,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Cyprus,CYP,411409063.265004,281160374.253609,479735318.444996,414496321.441512,384925361.045941,357806822.598924,327891760.008872,295355009.95355,359061651.016244,450408979.851988,401589789.520824,418784908.241195
Military expenditure (current USD),MS.MIL.XPND.CD,Czech Republic,CZE,..,1157294084.7289,2474313259.0035,2220610394.58562,2148784401.09143,2022883295.19451,1779887189.3897,1954935000.04528,2077722060.82334,2710017583.30521,2910252496.6203,3252487830.09521
Military expenditure (current USD),MS.MIL.XPND.CD,Denmark,DNK,2649889473.4801,2392510831.18689,4518590126.86474,4422458083.58423,4216647585.33628,4056861510.68455,3364047774.07406,3592727943.77381,3764033343.56355,4558690186.91182,4556755135.7025,4953363914.37309
Military expenditure (current USD),MS.MIL.XPND.CD,Djibouti,DJI,31116187.7324571,26025061.7540977,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Dominican Republic,DOM,47798904.4373805,246810843.740481,348559830.088199,396187178.568069,383380254.0656,437572465.844162,458007157.526361,479722172.766986,533073157.821471,593678722.089905,613299023.334698,599052525.398084
Military expenditure (current USD),MS.MIL.XPND.CD,Ecuador,ECU,202000000,266000000,2453700000,2589776000,2735825000,2786519000,2597510000,2513200000,2462700000,2549400000,2399900000,2243500000
Military expenditure (current USD),MS.MIL.XPND.CD,"Egypt, Arab Rep.",EGY,2260645161.29032,2627698333.83736,4463974191.06902,4557748767.35039,4359834243.76995,5085121576.27973,5475490833.44169,4513022526.81632,2765588434.01207,3119587363.84249,3743671451.54565,4505374644.32501
Military expenditure (current USD),MS.MIL.XPND.CD,El Salvador,SLV,163886690.391459,110370320.284698,220700000,224300000,237500000,233900000,247700000,247600000,260900000,294610000,317200000,372280000
Military expenditure (current USD),MS.MIL.XPND.CD,Equatorial Guinea,GNQ,..,..,..,..,..,166540270.521497,137262659.565475,139200817.641802,136210361.388331,149498690.044337,160714590.465528,..
Military expenditure (current USD),MS.MIL.XPND.CD,Eritrea,ERI,..,230670129.87013,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Estonia,EST,..,78313308.5597839,389237580.888435,436852911.624656,479314460.824341,512119045.123526,463568814.461573,497653404.256057,537440226.919815,614945174.27381,637035378.414689,701014476.233899
Military expenditure (current USD),MS.MIL.XPND.CD,Eswatini,SWZ,14223211.6630336,24471060.5303012,106629408.921201,90639795.2733079,86040376.7558151,81355664.003534,73527455.7424242,80527779.9028584,87762823.1282349,95863380.3230956,86532285.9713475,75109758.3191644
Military expenditure (current USD),MS.MIL.XPND.CD,Ethiopia,ETH,785048309.178744,617541613.6279,332441772.391593,366539017.667525,345064165.844028,414476025.830071,442532624.456259,490177248.532075,499795483.487377,512029056.710603,544839429.847158,461257623.915471
Military expenditure (current USD),MS.MIL.XPND.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Fiji,FJI,30542031.5886853,32039537.3528389,60785527.4678088,59221516.4060361,58108276.8995161,74787941.1272158,42617557.6035115,54411608.0036804,75276555.0115658,81378313.5709352,79497171.8580505,73510781.8265683
Military expenditure (current USD),MS.MIL.XPND.CD,Finland,FIN,2141300984.18983,1558135249.67754,4099505807.28569,3943239958.16491,4161139945.21741,3985508351.98832,3399134967.28402,3415008249.65045,3431090216.95364,3756949116.5327,3629646215.85311,4087541319.95897
Military expenditure (current USD),MS.MIL.XPND.CD,France,FRA,35774430324.9841,28403138948.7059,54120871009.5016,50216507403.1664,52001462447.6638,53134750898.8024,45647471640.5013,47370589552.6306,49195662250.3198,51409812838.5917,50118929211.9346,52747064858.0873
Military expenditure (current USD),MS.MIL.XPND.CD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Gabon,GAB,..,91295212.198164,265965337.617035,278143957.126655,282163387.579953,208124773.338136,170374503.339251,202815390.680402,267430770.80282,261217395.059596,266879196.119858,271499817.540445
Military expenditure (current USD),MS.MIL.XPND.CD,"Gambia, The",GMB,3464911.1117034,3323532.17179142,..,11173079.8607106,10378890.6934834,14599970.2849394,14288131.905326,..,..,11487224.9434107,14529115.744069,14804957.6501671
Military expenditure (current USD),MS.MIL.XPND.CD,Georgia,GEO,..,18824291.4324173,468779626.836253,491982529.358533,441878926.976772,415643210.857482,299514176.284605,315194446.322336,321136644.607665,333912381.840905,310614128.505502,292168284.789644
